,Country,Region,GDP per Capita,CO2 per Capita,Air Quality,Biodiversity,Water Sanitation,Happiness Score
0,Denmark,Western Europe,0.4674152926738745,0.15948387096774194,0.864779042074623,0.9722735674676526,0.99709997099971,0.9775756293632325
1,Switzerland,Western Europe,0.6866178666476691,0.12593548387096776,0.6677692511246363,0.8894408502772644,0.9992999929999301,0.9739792680346941
2,Iceland,Western Europe,0.5283765762911242,0.3014193548387097,0.9978830378406988,0.6076709796672829,0.9928999289992901,0.9722868627036176
3,Norway,Western Europe,0.6031617496423624,0.22270967741935485,0.965467054776396,0.7943622920517561,0.9885998859988601,0.9716522107044636
4,Finland,Western Europe,0.37386254998704704,0.2281290322580645,0.9546176237099763,0.9645332717190389,0.98569985699857,0.9536704040617727
5,Canada,North America,0.3609935695079631,0.4167741935483871,0.920084678486372,0.7054066543438078,0.9964999649996501,0.9517664480643113
6,Netherlands,Western Europe,0.39302941909330313,0.25806451612903225,0.6311193437417305,0.8888632162661738,0.9864998649986502,0.9380156547493124
7,New Zealand,Australia and New Zealand,0.34163218160311914,0.19406451612903225,0.9797565493516803,0.916243068391867,1.0,0.9369579014173894
8,Australia,Australia and New Zealand,0.42708752707496045,0.44361290322580643,0.9858428155596718,0.8518946395563773,1.0,0.9325153374233128
9,Sweden,Western Europe,0.4443007021726888,0.11716129032258066,0.947869806827203,0.8701478743068394,0.99569995699957,0.9278612227628518
10,Israel,Middle East and Northern Africa,0.3183850260326958,0.208,0.6467319396665785,0.6683225508317931,1.0,0.9227840067696214
11,Austria,Western Europe,0.38641207643608455,0.20541935483870968,0.6690923524741995,0.9229436229205177,1.0,0.8914745081447006
12,United States,North America,0.4952597155770333,0.4126451612903226,0.9011643291876158,0.7614371534195934,0.99169991699917,0.8883012481489316
13,Costa Rica,Latin America and Caribbean,0.09791944995963174,0.04412903225806451,0.956866896004234,0.8904805914972274,0.87619876198762,0.8847048868203935
14,Germany,Western Europe,0.3594383295918657,0.24825806451612906,0.6385287112992855,1.0,0.9949999499995,0.8650306748466257
15,Brazil,Latin America and Caribbean,0.07253819896900895,0.060645161290322575,0.928287906853665,0.9147412199630316,0.84419844198442,0.8561455468584727
16,Belgium,Western Europe,0.35869224434020264,0.2335483870967742,0.5198465202434507,1.0,0.99639996399964,0.8512798815316267
17,Ireland,Western Europe,0.5407436478110211,0.21109677419354841,0.9628208520772691,0.8903650646950094,0.94019940199402,0.8466257668711656
18,Luxembourg,Western Europe,0.8937724928006364,0.4167741935483871,0.8060333421540092,1.0,0.98569985699857,0.8390099428813202
19,Mexico,Latin America and Caribbean,0.07276909550077307,0.09961290322580646,0.766472611802064,0.7534658040665435,0.8078980789807899,0.8193357309075522
20,Singapore,Southeastern Asia,0.4851192113890978,0.239741935483871,0.8756284731410425,0.6795286506469502,1.0,0.811085254918553
21,United Kingdom,Western Europe,0.35063219755593633,0.15225806451612903,0.8621328393754962,0.9882162661737524,0.9949999499995,0.8081235455891684
22,Chile,Latin America and Caribbean,0.11580778109861503,0.12774193548387097,0.883567081238423,0.7129158964879854,0.9446994469944701,0.8038925322614767
23,Panama,Latin America and Caribbean,0.12103461046221393,0.07096774193548387,0.9604392696480549,0.8605591497227358,0.7780977809778099,0.8030463295959382
24,Argentina,Latin America and Caribbean,0.10757661728272765,0.1249032258064516,0.9360942048160891,0.650184842883549,0.93049930499305,0.7922572456103236
25,Czech Republic,Central and Eastern Europe,0.1563283143294568,0.2658064516129032,0.5341360148187352,1.0,0.9892998929989302,0.7808335096255554
26,United Arab Emirates,Middle East and Northern Africa,0.325433542478065,0.5814193548387095,0.6331039957660757,0.8776571164510167,0.9029990299902999,0.7759678442987095
27,Uruguay,Latin America and Caribbean,0.1298928771306197,0.049032258064516124,0.9315956602275736,0.4722735674676526,0.9568995689956901,0.7700444256399408
28,Malta,Western Europe,0.21380223521920824,0.08903225806451613,0.9683778777454354,0.930452865064695,1.0,0.7579860376560186
29,Colombia,Latin America and Caribbean,0.048118597360161074,0.04619354838709677,0.9184969568668963,0.8612523105360443,0.7721977219772198,0.7565051829913263
30,France,Western Europe,0.3152965366704779,0.12851612903225806,0.8045779306694895,0.9944547134935304,0.99219992199922,0.7558705309921725
31,Thailand,Southeastern Asia,0.04904142669929368,0.10116129032258066,0.45911616829849167,0.8391866913123845,0.8576985769857699,0.7550243283266342
32,Saudi Arabia,Middle East and Northern Africa,0.1684958285580961,0.4929032258064516,0.6882773220428685,0.7884704251386322,0.8698986989869899,0.7349270150200973
33,Qatar,Middle East and Northern Africa,0.48889078164237965,1.0,0.4620269912675311,0.5190619223659889,0.8979989799897999,0.7340808123545588
34,Spain,Western Europe,0.22543862261065584,0.14606451612903226,0.9215400899708918,0.9622227356746766,0.9992999929999301,0.7311191030251747
35,Algeria,Middle East and Northern Africa,0.031577969092862854,0.09858064516129032,0.8920349298756286,0.5566081330868762,0.7210972109721098,0.7298497990268671
36,Guatemala,Latin America and Caribbean,0.03324653909620195,0.027612903225806455,0.8237629002381582,0.7460720887245841,0.6987969879698798,0.7232917283689444
37,Suriname,Latin America and Caribbean,0.04582844333464946,0.0990967741935484,0.9503836993913736,0.7818853974121998,0.7931979319793198,0.7116564417177915
38,Kuwait,Middle East and Northern Africa,0.23529991376717863,0.6139354838709677,0.36041280762106376,0.8512014787430686,0.89919899198992,0.7053099217262535
39,Bahrain,Middle East and Northern Africa,0.19204023886853858,0.6216774193548387,0.6546705477639587,0.49792051756007394,0.91909919099191,0.7008673577321769
40,Trinidad and Tobago,Latin America and Caribbean,0.1366799871372743,0.6787096774193547,1.0,0.8672597042513865,0.8660986609866099,0.6902898244129467
41,Slovakia,Central and Eastern Europe,0.13950765716307542,0.16593548387096774,0.6499073829055305,1.0,0.9811998119981201,0.6712502644383329
42,El Salvador,Latin America and Caribbean,0.030320596172015976,0.030709677419354837,0.9001058481079652,0.727703327171904,0.7393973939739398,0.6691347577744868
43,Malaysia,Southeastern Asia,0.08203266932317495,0.2030967741935484,0.7020375760783277,0.8942929759704252,0.91219912199122,0.6558070657922572
44,Nicaragua,Latin America and Caribbean,0.015775926292232186,0.02503225806451613,0.8921672400105848,0.927449168207024,0.6854968549685497,0.6530569071292576
45,Uzbekistan,Central and Eastern Europe,0.019730892342179056,0.08258064516129032,0.7037576078327601,0.4937615526802218,0.81039810398104,0.6519991537973344
46,Italy,Western Europe,0.2635117692982546,0.152,0.6765017200317545,0.987985212569316,0.99639996399964,0.6498836471334886
47,Ecuador,Latin America and Caribbean,0.04974163448668223,0.06735483870967743,0.9063244244509131,0.8718807763401109,0.7937979379793798,0.6496720964671039
48,Belize,Latin America and Caribbean,0.0390712828066161,0.030451612903225806,0.9711563905795183,0.9887939001848429,0.7775977759777599,0.645441083139412
49,Japan,Eastern Asia,0.33104061158372594,0.24567741935483872,0.7410690658904472,0.9220194085027726,1.0,0.638036809815951
50,Kazakhstan,Central and Eastern Europe,0.06396157967538375,0.3785806451612903,0.9002381582429214,0.46222273567467664,0.8186981869818699,0.6376137084831817
51,Moldova,Central and Eastern Europe,0.017192452608876925,0.051096774193548376,0.6813971950251391,0.45968114602587806,0.7473974739747398,0.6329595938227206
52,Russia,Central and Eastern Europe,0.07281738255077912,0.3016774193548387,0.835406192114316,0.6961645101663587,0.8421984219842199,0.6242860165009518
53,Poland,Central and Eastern Europe,0.10449444150449873,0.21316129032258063,0.5811061127282351,0.9972273567467653,0.9488994889948901,0.6198434525068754
54,South Korea,Eastern Asia,0.23491392348185566,0.32980645161290323,0.3160889124106906,0.6457948243992607,0.95109951099511,0.6198434525068754
55,Bolivia,Latin America and Caribbean,0.02410373665923638,0.05058064516129032,0.9059274940460441,0.8851663585951941,0.7186971869718698,0.6170932938438756
56,Lithuania,Central and Eastern Europe,0.1265615150973917,0.11793548387096774,0.8580312251918497,0.9832486136783734,0.90849908499085,0.6151893378464142
57,Belarus,Central and Eastern Europe,0.040826249897245794,0.16438709677419355,0.7765281820587459,0.6887707948243994,0.91119911199112,0.6128622805161836
58,Slovenia,Central and Eastern Europe,0.1834765888468503,0.1901935483870968,0.7494046043926966,1.0,0.97829978299783,0.6056695578591071
59,Peru,Latin America and Caribbean,0.050986854493087486,0.04619354838709677,0.8227044191585074,0.8219731977818855,0.7365973659736598,0.6003807911994921
60,Turkmenistan,Central and Eastern Europe,0.052572779596076286,0.3393548387096774,0.8289229955014553,0.42155730129390023,0.6628966289662898,0.5823989845568012
61,Mauritius,Sub-Saharan Africa,0.08086291359165805,0.07922580645161291,0.9763164858428156,0.4853280961182995,0.92719927199272,0.5802834778929553
62,Libya,Middle East and Northern Africa,0.03234083145437624,0.21858064516129033,0.8303784069859751,0.13031423290203328,0.7438974389743899,0.5733023059022637
63,Latvia,Central and Eastern Europe,0.11929092755164966,0.10322580645161292,0.8884625562318073,0.974699630314233,0.91109911099111,0.5616670192511106
64,Paraguay,Latin America and Caribbean,0.04337663512566637,0.02683870967741936,0.8728499603069596,0.7567005545286507,0.8240982409824099,0.5570129045906493
65,Romania,Central and Eastern Europe,0.07987878865007011,0.10090322580645161,0.7459645408838317,0.9511321626617375,0.85639856398564,0.5548973979268035
66,Estonia,Central and Eastern Europe,0.15438542216105197,0.4209032258064516,0.9431066419687749,1.0,0.95439954399544,0.552570340596573
67,Jamaica,Latin America and Caribbean,0.03928555177118483,0.06916129032258064,0.9293463879333158,0.8899029574861368,0.7771977719777199,0.5510894859318807
68,Croatia,Central and Eastern Europe,0.10388343094378019,0.1150967741935484,0.7140777983593544,0.987985212569316,0.9586995869958701,0.5464353712714194
69,Somalia,Sub-Saharan Africa,0.00020809654637107475,0.0007741935483870968,0.6227838052394814,0.08629852125693163,0.26069260692606927,0.5362809392849588
70,Turkey,Middle East and Northern Africa,0.09065094760669623,0.1272258064516129,0.7631648584281555,0.10501386321626618,0.8505985059850599,0.525491855299344
71,Indonesia,Southeastern Asia,0.028281742975205075,0.04980645161290322,0.7771897327335274,0.7876617375231055,0.7465974659746598,0.5096255553204994
72,Jordan,Middle East and Northern Africa,0.03292981815109664,0.07045161290322581,0.7191055834876953,0.3408040665434381,0.89649896498965,0.5072984979902686
73,Azerbaijan,Central and Eastern Europe,0.031013530095360474,0.08748387096774193,0.7855252712357766,0.7207717190388171,0.7811978119781199,0.5047598899936536
74,Philippines,Southeastern Asia,0.022939784793137234,0.03148387096774193,0.8622651495104526,0.8401109057301295,0.7501975019750198,0.5022212819970382
75,China,Eastern Asia,0.06708914227670328,0.2007741935483871,0.028975919555437935,0.7394870609981516,0.85539855398554,0.4950285593399619
76,Bhutan,Southern Asia,0.02284827304112238,0.04541935483870967,0.4818735115109818,0.9577171903881703,0.7869978699786999,0.48466257668711665
77,Kyrgyzstan,Central and Eastern Europe,0.007295076625820502,0.04103225806451613,0.8358031225191852,0.7666358595194085,0.7462974629746297,0.4823355193568859
78,Serbia,Central and Eastern Europe,0.04713170924807669,0.15870967741935482,0.7079915321513628,0.5547597042513864,0.91859918599186,0.4806431140258094
79,Bosnia and Herzegovina,Central and Eastern Europe,0.040586119703782335,0.20051612903225807,0.7468907118285261,0.2677911275415896,0.93729937299373,0.4776814046964246
80,Montenegro,Central and Eastern Europe,0.05806730920892457,0.15870967741935482,0.8637205609949724,0.6270794824399261,0.9395993959939599,0.4772583033636557
81,Dominican Republic,Latin America and Caribbean,0.06023230553658016,0.05935483870967742,0.9454882243979889,0.9253696857670981,0.7192971929719298,0.4759889993653481
82,Morocco,Middle East and Northern Africa,0.022557446134580605,0.04567741935483871,0.8990473670283142,0.8971811460258781,0.6771967719677198,0.47514279669980963
83,Hungary,Central and Eastern Europe,0.10931363230269087,0.1287741935483871,0.6043926964805504,1.0,0.9561995619956201,0.47387349270150203
84,Pakistan,Southern Asia,0.00942442080552398,0.02270967741935484,0.17134162476845727,0.6538817005545288,0.6633966339663397,0.4711233340385024
85,Lebanon,Middle East and Northern Africa,0.06327500598969299,0.10916129032258065,0.6988621328393755,0.3514325323475047,0.80289802898029,0.47048868203934835
86,Portugal,Western Europe,0.16934746787659316,0.12825806451612903,0.9491929081767664,0.9512476894639557,0.9978999789997901,0.46921937804104075
87,Vietnam,Southeastern Asia,0.01650333640587616,0.06529032258064517,0.438475787245303,0.796326247689464,0.8033980339803399,0.4561032367251956
88,Tunisia,Middle East and Northern Africa,0.02944368259802064,0.06735483870967743,0.9206139190261976,0.5499075785582256,0.8107981079810799,0.45271842606304213
89,Greece,Western Europe,0.15334702604851042,0.15664516129032258,0.865175972479492,0.9401571164510167,0.99359993599936,0.45017981806642693
90,Tajikistan,Central and Eastern Europe,0.004561093596124222,0.01574193548387097,0.6930404869012967,0.7019408502772644,0.7027970279702798,0.44235244341019686
91,Mongolia,Eastern Asia,0.029117925399207524,0.14967741935483872,0.860942048160889,0.8100739371534197,0.5446954469544696,0.4235244341019675
92,Laos,Southeastern Asia,0.01750520811278812,0.01161290322580645,0.14329187615771372,0.8871303142329021,0.6611966119661198,0.41696636344404503
93,Nigeria,Sub-Saharan Africa,0.01636399526350204,0.01367741935483871,0.6685631119343742,0.7161506469500926,0.44109441094410945,0.41675481277766036
94,Honduras,Latin America and Caribbean,0.017795529588874065,0.027612903225806455,0.864382111669754,0.8485443622920519,0.7281972819728197,0.4159086101121219
95,Zambia,Sub-Saharan Africa,0.008669266670946035,0.006451612903225807,0.7681926435564966,0.9660351201478745,0.5298952989529896,0.3998307594668924
96,Nepal,Southern Asia,0.004343075077638371,0.007741935483870969,0.10875893093410954,0.7295517560073939,0.6093960939609396,0.39940765813412327
97,Albania,Central and Eastern Europe,0.033104911675047,0.04051612903225806,0.7842021698862133,0.4699630314232902,0.89339893398934,0.3702136661730485
98,Bangladesh,Southern Asia,0.009709432692391828,0.012387096774193548,0.0031754432389520804,0.5814463955637709,0.5710957109571096,0.3676750581764332
99,Sierra Leone,Sub-Saharan Africa,0.001973595835440963,0.003612903225806452,0.5996295316221223,0.7164972273567468,0.3125931259312593,0.36598265284535647
100,Iraq,Middle East and Northern Africa,0.03871312724575104,0.11896774193548387,0.46414395342683257,0.24491682070240298,0.7385973859738598,0.35328961286228056
101,Namibia,Sub-Saharan Africa,0.03879484037041283,0.04490322580645161,0.8859486636676369,0.9507855822550833,0.6239962399623997,0.3530780621958959
102,Cameroon,Sub-Saharan Africa,0.009381019964232452,0.014967741935483869,0.733130457793067,0.7381007393715342,0.4787947879478795,0.3401734715464354
103,Ethiopia,Sub-Saharan Africa,0.003827272344294754,0.003096774193548387,0.6071712093146336,0.8096118299445472,0.27999279992799925,0.33911571821451236
104,South Africa,Sub-Saharan Africa,0.042977111728490544,0.2216774193548387,0.8893887271765019,0.7118761552680223,0.7189971899718999,0.328749735561667
105,Sri Lanka,Southern Asia,0.031061247375992335,0.02812903225806452,0.6267531092881714,0.7918207024029577,0.8304983049830499,0.31944150624074463
106,India,Southern Asia,0.012525043600905594,0.04541935483870967,0.08534003704683779,0.5774029574861369,0.6438964389643898,0.3171144489105141
107,Myanmar,Southeastern Asia,0.007912331722416758,0.014193548387096773,0.30060862662079924,0.5117837338262478,0.6458964589645897,0.3152104929130526
108,Egypt,Middle East and Northern Africa,0.027956691871744654,0.06503225806451612,0.4816088912410691,0.6851894639556377,0.86719867198672,0.3082293209223609
109,Armenia,Central and Eastern Europe,0.028530810469171455,0.04670967741935484,0.6905265943371263,0.8547828096118302,0.8291982919829199,0.30780621958959176
110,Kenya,Sub-Saharan Africa,0.009785973774079334,0.009548387096774193,0.7632971685631119,0.8161968576709798,0.5177951779517795,0.3069600169240533
111,Ukraine,Central and Eastern Europe,0.016464816050082966,0.1287741935483871,0.8277322042868486,0.6023567467652495,0.8721987219872199,0.30019039559974614
112,Ghana,Sub-Saharan Africa,0.014261957639617349,0.014193548387096773,0.6628737761312516,0.778073012939002,0.4762947629476295,0.2900359636132853
113,Congo (Kinshasa),Sub-Saharan Africa,0.0017149608383874452,0.0002580645161290323,0.3954749933844932,0.7243530499075786,0.2641926419264193,0.28918976094774707
114,Georgia,Central and Eastern Europe,0.032572643812445574,0.06658064516129032,0.7718973273352739,0.6570009242144178,0.7930979309793099,0.284958747620055
115,Congo (Brazzaville),Sub-Saharan Africa,0.013253725866920005,0.02890322580645161,0.7943900502778513,0.9221349353049908,0.41019410194101946,0.28157393695790156
116,Senegal,Sub-Saharan Africa,0.00857011547371106,0.014967741935483869,0.7165916909235247,0.9232902033271719,0.5701957019570196,0.2779775756293631
117,Bulgaria,Central and Eastern Europe,0.06185287350779827,0.1615483870967742,0.7785128340830908,0.8726894639556377,0.9324993249932501,0.27755447429659397
118,Mauritania,Sub-Saharan Africa,0.007322761635755088,0.016258064516129034,0.6931727970362531,0.3405730129390019,0.40169401694016943,0.2741696636344406
119,Zimbabwe,Sub-Saharan Africa,0.010250499200701488,0.017548387096774195,0.844403281291347,0.9342652495378929,0.5485954859548596,0.2724772583033638
120,Malawi,Sub-Saharan Africa,0.0003783276378750088,0.0012903225806451613,0.6499073829055305,0.9231746765249538,0.49629496294962955,0.2646498836471336
121,Sudan,Sub-Saharan Africa,0.0182726123275817,0.009032258064516128,0.7453029902090501,0.33918669131238444,0.3166931669316693,0.26105352231859513
122,Gabon,Sub-Saharan Africa,0.05764427776139169,0.08567741935483872,0.9031489812119607,0.8771950092421443,0.6324963249632497,0.25724561032367266
123,Mali,Sub-Saharan Africa,0.004366512228002631,0.0005161290322580645,0.5613919026197407,0.688424214417745,0.3780937809378094,0.24709117833721184
124,Haiti,Latin America and Caribbean,0.00398347642241916,0.007741935483870969,0.7201640645673458,0.12673290203327173,0.3868938689386894,0.23757139834990493
125,Botswana,Sub-Saharan Africa,0.05991417577798262,0.08051612903225806,0.9068536649907383,0.9277957486136785,0.6831968319683197,0.2261476623651364
126,Comoros,Sub-Saharan Africa,0.008597215125811727,0.005419354838709678,0.8379200846784866,0.6347042513863217,0.4947949479494795,0.2223397503702138
127,Ivory Coast,Sub-Saharan Africa,0.010397177686696249,0.013419354838709678,0.7336596983328924,0.8946395563770795,0.4872948729487295,0.21387772371482983
128,Cambodia,Southeastern Asia,0.008652531978205548,0.01574193548387097,0.590500132310135,0.8631007393715344,0.6022960229602297,0.2119737677173683
129,Angola,Sub-Saharan Africa,0.027793869980301547,0.029161290322580646,0.795448531357502,0.4632624768946396,0.3667936679366794,0.20330019039559977
130,Niger,Sub-Saharan Africa,0.0007766652542624212,0.0018064516129032257,0.5521301931727971,0.8651802218114604,0.11979119791197912,0.2011846837317538
131,Chad,Sub-Saharan Africa,0.0036197757052731172,0.0005161290322580645,0.6058481079650702,0.776109057301294,0.1002910029100291,0.18151047175798607
132,Burkina Faso,Sub-Saharan Africa,0.0026729258602086556,0.003612903225806452,0.5912939931198731,0.8619454713493531,0.35869358693586934,0.17643325576475566
133,Uganda,Sub-Saharan Africa,0.002895583811951442,0.00232258064516129,0.5542471553320985,0.9261783733826248,0.5090950909509095,0.17643325576475566
134,Yemen,Middle East and Northern Africa,0.007460105092095215,0.009806451612903225,0.7281026726647263,0.39868299445471356,0.42709427094270946,0.17325999576898665
135,Madagascar,Sub-Saharan Africa,0.001754804436138028,0.0033548387096774194,0.6603598835670813,0.5919593345656193,0.22069220692206926,0.1671250264438333
136,Tanzania,Sub-Saharan Africa,0.0059700413029308095,0.004903225806451614,0.6513627943900503,0.9346118299445472,0.3737937379373794,0.16099005711867997
137,Liberia,Sub-Saharan Africa,0.00380577848191172,0.005161290322580646,0.6034665255358561,0.41855360443622924,0.4081940819408194,0.15168182779775752
138,Guinea,Sub-Saharan Africa,0.003963371282117758,0.004645161290322581,0.5813707329981477,0.8492375231053606,0.4257942579425794,0.1485085678019885
139,Rwanda,Sub-Saharan Africa,0.003906532715050535,0.0015483870967741933,0.458057687218841,0.6679759704251388,0.5799957999579997,0.12904590649460546
140,Benin,Sub-Saharan Africa,0.004445657452117195,0.014709677419354838,0.5694628208520772,0.7376386321626619,0.4106941069410694,0.12248783583668288
141,Afghanistan,Southern Asia,0.002367280901578653,0.006709677419354839,0.6499073829055305,0.09022643253234752,0.3919939199391994,0.09625555320499257
142,Togo,Sub-Saharan Africa,0.0027955540563451365,0.008,0.5850754167769252,0.6689001848428836,0.3139931399313993,0.08419716522107046
